,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
7306,Address: 310 Townsend Street #404,San FranciscoSales price: 875000Sales date: 08/19/2014Bedrooms: 1Square feet: 882Lot size: 16600,310 Townsend St APT 404,1,1,882,08/19/2014,875000,37.777012,-122.395737,South of Market,4,Condominium,2006,886756,957300,94107,82786216
7308,Address: 900 Bush Street #221,San FranciscoSales price: 710000Sales date: 08/19/2014Bedrooms: 2Square feet: 928Lot size: 37816,900 Bush St APT 221,2,2,928,08/19/2014,710000,37.789945,-122.412735,Downtown,5,Condominium,1981,899075,795400,94109,15068992
7309,Address: 1238 Green Street,San FranciscoSales price: 1810000Sales date: 08/19/2014Bedrooms: 0Square feet: 2016Lot size: 2000,1238 Green St,1.5,4,2016,08/19/2014,1810000,37.798362,-122.419527,Russian Hill,7,SingleFamily,1907,2571269,1608800,94109,15066119
7311,Address: 960 Elizabeth Street,San FranciscoSales price: 1850000Sales date: 08/19/2014Bedrooms: 3Square feet: 1650Lot size: 2850,960 Elizabeth St,2.5,3,1755,08/19/2014,1850000,37.75187,-122.441896,Noe Valley,7,SingleFamily,1922,2283360,1751900,94114,15131766
7314,Address: 2456 Great Highway,San FranciscoSales price: 800000Sales date: 08/19/2014Bedrooms: 2Square feet: 1075Lot size: 0,2456 Great Hwy,1,2,1075,08/19/2014,800000,37.740606,-122.506685,Outer Parkside,4,Condominium,1946,828696,982900,94116,119684987
7315,Address: 2619 22nd Avenue,San FranciscoSales price: 918000Sales date: 08/19/2014Bedrooms: 0Square feet: 1285Lot size: 3000,2619 22nd Ave,1,2,1285,08/19/2014,918000,37.73875,-122.478945,Parkside,5,SingleFamily,1931,864990,1094000,94116,15125267
7316,Address: 2125 Santiago Street,San FranciscoSales price: 1275000Sales date: 08/19/2014Bedrooms: 2Square feet: 1422Lot size: 2247,2125 Santiago St,4,4,2200,08/19/2014,1275000,37.744049,-122.490228,Parkside,8,SingleFamily,1927,1446816,1094000,94116,15120788
7317,Address: 1512 Willard Street,San FranciscoSales price: 2665000Sales date: 08/19/2014Bedrooms: 3Square feet: 2100Lot size: 2330,1512 Willard St,3,3,2100,08/19/2014,2665000,37.762498,-122.453685,Parnassus - Ashbury,9,SingleFamily,1913,2528082,2111800,94117,15127925
7318,Address: 855 La Playa Street #166,San FranciscoSales price: 600000Sales date: 08/19/2014Bedrooms: 2Square feet: 1178Lot size: 36683,855 La Playa St APT 166,2,2,1178,08/19/2014,600000,37.772199,-122.510375,Outer Richmond,4,Condominium,1982,764400,1187700,94121,15100639
7319,Address: 427 25th Avenue #2,San FranciscoSales price: 708000Sales date: 08/19/2014Bedrooms: 2Square feet: 955Lot size: 3000,427 25th Ave # 2,1,2,955,08/19/2014,708000,37.78145,-122.485183,Central Richmond,4,Condominium,1982,921061,1480400,94121,15092061
7320,Address: 1592 Underwood Avenue,San FranciscoSales price: 805000Sales date: 08/19/2014Bedrooms: 2Square feet: 1424Lot size: 4996,1592 Underwood Ave,1,2,1424,08/19/2014,805000,37.729896,-122.391511,Bayview,5,SingleFamily,1907,828296,719000,94124,15157733
7321,Address: 650 Delancey Street #408,San FranciscoSales price: 1485000Sales date: 08/18/2014Bedrooms: 0Square feet: 1456Lot size: 61922,650 Delancey St APT 408,2,2,1456,08/18/2014,1485000,37.782775,-122.389686,South Beach,3,Condominium,1996,1906426,1269100,94107,80737413
7323,Address: 460 Belvedere Street,San FranciscoSales price: 2850000Sales date: 08/18/2014Bedrooms: 3Square feet: 2420Lot size: 3489,460 Belvedere St,2.25,3,2420,08/18/2014,2850000,37.764066,-122.447926,Parnassus - Ashbury,6,SingleFamily,1909,3307726,2111800,94117,15088145
7324,Address: 827 Balboa Street,San FranciscoSales price: 930000Sales date: 08/18/2014Bedrooms: 0Square feet: 1275Lot size: 2501,827 Balboa St,1,2,1275,08/18/2014,930000,37.77682,-122.467745,Inner Richmond,5,Condominium,1922,1151734,1679000,94118,15098252
7327,Address: 77 Van Ness Avenue #805,San FranciscoSales price: 925000Sales date: 08/15/2014Bedrooms: 1Square feet: 948Lot size: 13040,77 Van Ness Ave APT 805,1,1,948,08/15/2014,925000,37.776062,-122.419853,Van Ness - Civic Center,4,Condominium,2009,990713,839200,94102,111710831
7329,Address: 67 Pearl Street,San FranciscoSales price: 1070000Sales date: 08/15/2014Bedrooms: 2Square feet: 1183Lot size: 1999,67 Pearl St,1,3,1183,08/15/2014,1070000,37.77029,-122.423813,Mission,5,Condominium,1908,1199571,1167700,94103,111929923
7334,Address: 470 Kansas Street,San FranciscoSales price: 830000Sales date: 08/15/2014Bedrooms: 2Square feet: 929Lot size: 2484,470 Kansas St,1,2,1090,08/15/2014,830000,37.763914,-122.403766,Potrero Hill,5,Condominium,1885,1140810,1264000,94107,64971645
7335,Address: 461 2nd Street #C216,San FranciscoSales price: 880000Sales date: 08/15/2014Bedrooms: 1Square feet: 949Lot size: 56167,461 2nd St APT C216,1,1,949,08/15/2014,880000,37.783699,-122.39359,South Beach,4,Condominium,1907,974519,1269100,94107,15148055
7336,Address: 582 Wisconsin Street,San FranciscoSales price: 1300000Sales date: 08/15/2014Bedrooms: 3Square feet: 1100Lot size: 79531,582 Wisconsin St,2,2,1100,08/15/2014,1300000,37.760459,-122.399735,Potrero Hill,5,Condominium,1978,1079720,1264000,94107,15149793
