longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.46,34.06,46,1302,215,482,226,7.0674,500001
-118.46,34.06,20,5448,1532,2202,1442,4.2554,500001
-118.46,34.05,25,6902,2138,3136,1844,2.6509,410000
-118.46,34.05,25,4077,1151,1719,1017,3.7721,337500
-118.46,34.05,21,3639,1002,1489,983,4.6197,387500
-118.46,34.04,31,2621,707,1632,673,3.287,348100
-118.46,34.04,25,2768,850,1558,784,3.6976,360000
-118.46,34.04,25,2142,718,1390,699,3.0069,325000
-118.46,34.04,19,3522,1036,1820,977,3.2663,337500
-118.46,34.04,17,2729,897,1404,758,3.1235,420800
-118.46,34.03,39,1244,283,886,284,3.125,325000
-118.46,34.03,27,1965,631,1042,596,2.75,327300
-118.46,34.02,46,2571,502,1225,501,6.0436,473000
-118.46,34.02,45,3803,970,1690,871,3.0476,456200
-118.46,34.02,29,2329,833,1953,800,2.6639,233300
-118.46,34.01,48,1640,322,664,301,4,500001
-118.46,34.01,43,513,98,266,103,5.6428,343100
-118.46,34,52,888,206,376,194,3.875,372000
-118.46,34,44,941,230,493,206,3.6458,325800
-118.46,34,39,614,174,538,159,2.3542,235700
-118.46,34,39,4098,1100,2054,1053,2.918,345600
-118.46,34,37,388,83,248,84,5.1664,326700
-118.46,34,36,1392,260,679,247,4.7344,346900
-118.46,33.99,52,1158,253,528,253,3.5234,334700
-118.46,33.99,41,885,285,562,268,3.1992,303800
-118.46,33.99,37,1828,460,1075,453,4.337,360600
-118.46,33.99,35,1214,300,478,265,4.0156,500001
-118.46,33.98,32,2388,591,1009,556,5.2121,466700
-118.46,33.98,27,2217,520,806,458,3.8935,500001
-118.46,33.97,19,2461,521,777,447,10,500001
-118.46,33.97,19,1658,427,648,378,3.8698,500001
-118.46,33.97,18,9430,2473,3408,2003,6.1726,500001
-118.46,33.77,28,3065,406,1101,391,10.5536,500001
-118.47,35.72,18,4754,1075,1366,690,2.0694,81200
-118.47,35.64,17,2248,535,927,427,1.3023,68500
-118.47,34.42,25,3223,524,1763,508,5.2887,183000
-118.47,34.42,17,913,228,530,201,3.038,238500
-118.47,34.32,13,2664,518,1468,521,4.8988,325200
-118.47,34.29,18,4256,987,3401,955,4.2935,190000
-118.47,34.27,35,1150,185,741,178,5.741,220600
-118.47,34.27,33,1549,264,881,289,5.1408,222900
-118.47,34.27,17,1444,282,523,270,2.7353,192400
-118.47,34.26,35,1898,344,1123,347,5.5792,218400
-118.47,34.26,34,1300,289,650,291,3.8875,199200
-118.47,34.23,22,8350,2717,9135,2452,2.5008,160000
-118.47,34.21,34,2512,603,1805,584,2.9735,220000
-118.47,34.2,25,4590,1477,2723,1195,2.7118,281700
-118.47,34.2,20,3939,1143,2475,1002,2.9025,229100
-118.47,34.19,41,1104,196,495,196,5.0929,225000
-118.47,34.19,33,3879,943,2113,843,3.892,292900
-118.47,34.16,30,3823,740,1449,612,4.6,392500
-118.47,34.15,7,6306,1473,2381,1299,4.642,457300
-118.47,34.15,43,804,117,267,110,8.2269,500001
-118.47,34.14,36,2873,420,850,379,8.153,500001
-118.47,34.14,34,3646,610,1390,607,7.629,500001
-118.47,34.06,45,3030,433,916,399,9.4664,500001
-118.47,34.06,45,1271,190,419,171,7.6447,500001
-118.47,34.06,26,6577,1789,2937,1652,4.801,500001
-118.47,34.05,27,4401,1033,1725,962,4.175,500001
-118.47,34.05,25,2689,719,1229,663,3.5909,500001
-118.47,34.05,22,5215,1193,2048,1121,4.7009,500001
-118.47,34.04,32,2909,748,1310,706,4.516,350000
-118.47,34.04,21,5041,1491,2719,1420,3.5335,268800
-118.47,34.03,32,3024,784,1323,740,3.3889,347900
-118.47,34.03,31,2642,681,1303,625,3.5987,340500
-118.47,34.03,29,3287,882,1523,823,3.7381,290600
-118.47,34.02,41,2136,549,986,557,2.7254,444400
-118.47,34.02,38,2163,651,1759,584,2.3382,297500
-118.47,34.02,35,3057,774,2223,732,2.0745,332500
-118.47,34.01,44,2175,475,1019,448,4.793,470800
-118.47,34.01,44,2017,343,958,382,6.1014,480100
-118.47,34.01,43,1160,304,393,250,2.9167,461100
-118.47,34.01,41,752,201,482,207,2.5417,418200
-118.47,34.01,41,2704,557,1047,478,4.4211,462900
-118.47,34.01,27,1782,471,837,422,3.7727,413000
-118.47,34,42,1271,301,574,312,3.1304,340500
-118.47,34,37,2586,765,1801,737,2.6042,305800
-118.47,34,28,1259,302,668,280,4.2813,384400
-118.47,33.99,52,1523,447,636,408,3.0682,412500
-118.47,33.99,50,1568,501,764,478,3.015,414300
-118.47,33.99,41,1146,310,833,270,2.5938,285000
-118.47,33.99,37,2155,721,1082,637,3.4071,267500
-118.47,33.99,34,1875,501,1491,526,2.8417,321400
-118.47,33.99,31,1312,376,1178,330,2.0714,300000
-118.47,33.99,24,1438,454,665,416,2.975,500001
-118.48,35.14,4,8417,1657,4631,1468,3.6949,115800
-118.48,34.42,21,1375,259,728,258,5.0166,229000
-118.48,34.33,9,2384,395,1697,402,6.0891,270100
-118.48,34.28,35,2132,368,1128,341,5.3107,227100
-118.48,34.28,35,1511,274,873,254,5.5608,226700
-118.48,34.27,33,2649,449,1303,437,4.9955,216800
-118.48,34.26,36,1770,296,938,304,5.749,238000
-118.48,34.25,36,1951,395,1040,375,5.1619,195300
-118.48,34.25,35,1865,335,1074,337,5.1068,223300
-118.48,34.25,35,1442,276,795,268,4.9688,216900
-118.48,34.24,32,2621,412,1285,414,6.6537,267600
-118.48,34.23,35,1963,310,919,297,4.7583,258600
-118.48,34.23,30,1762,263,761,292,6.5268,273100
-118.48,34.23,29,3354,707,1752,650,4.5484,239900
-118.48,34.22,22,3430,1214,3618,1092,2.1974,93800
-118.48,34.21,25,2879,723,2077,649,3.3864,197400
-118.48,34.2,26,2027,559,1545,513,2.8974,189900
-118.48,34.2,23,2850,864,2249,777,2.6957,191700
-118.48,34.2,12,3831,1083,2258,967,2.4375,255400
-118.48,34.19,36,2058,423,1132,423,3.8833,210400
-118.48,34.16,32,2108,309,769,274,8.7172,500001
-118.48,34.16,30,3507,536,1427,525,6.7082,500001
-118.48,34.15,31,2536,429,990,424,5.4591,495500
-118.48,34.14,31,9320,1143,2980,1109,10.3599,500001
-118.48,34.07,40,3351,484,1564,523,8.5153,500001
-118.48,34.07,37,4042,549,1318,542,12.8665,500001
-118.48,34.07,29,4767,777,1500,638,10.7937,500001
-118.48,34.05,48,3623,528,1282,516,9.5221,500001
-118.48,34.05,36,2143,434,751,396,6.7496,500001
-118.48,34.04,49,3780,741,1435,690,4.3158,500001
-118.48,34.04,47,1956,277,724,277,8.9616,500001
-118.48,34.04,40,1395,285,610,262,3.9659,500001
-118.48,34.04,36,2539,535,979,500,3.6667,500001
-118.48,34.03,39,1530,401,1074,375,3.5076,381800
-118.48,34.03,32,1793,476,1143,448,2.8981,353600
-118.48,34.02,30,2027,609,1425,562,2.2917,330800
-118.48,34.02,29,1585,542,1019,487,2.7072,375000
-118.48,34.02,25,1583,460,983,422,2.7019,293800
-118.48,34.02,22,1249,483,1106,481,2.5261,375000
-118.48,34.02,11,72,16,150,20,2.625,250000
-118.48,34.01,40,2198,611,1023,567,3.755,398300
-118.48,34.01,31,2851,804,1410,782,4.0893,381500
-118.48,34,52,1359,395,521,368,2.6736,500001
-118.48,34,41,2584,743,1058,668,3.2061,370000
-118.48,34,29,1727,479,741,431,3.6121,500000
-118.48,34,25,4149,1067,1749,1000,3.9722,450000
-118.48,33.99,46,2219,686,1107,590,2.5523,387500
-118.48,33.96,16,895,181,237,149,12.0088,500001
-118.48,33.43,29,716,214,422,173,2.6042,287500
-118.49,34.43,15,8244,1409,4453,1357,5.4829,199600
-118.49,34.42,23,4166,756,2082,743,4.4107,213400
-118.49,34.31,25,1024,145,357,147,7.0598,356300
-118.49,34.29,26,4516,611,1714,581,9.2873,431800
-118.49,34.28,31,3508,585,1957,588,6.6458,285500
-118.49,34.28,27,2535,389,1071,386,6.8695,319400
-118.49,34.27,34,4877,815,2521,781,5.5714,225900
-118.49,34.27,33,3047,527,1578,507,4.58,236200
-118.49,34.26,27,2722,468,1164,419,4.6591,239900
-118.49,34.26,25,8389,1872,4483,1747,3.5497,261300
-118.49,34.25,33,2088,383,960,362,4.3333,232900
-118.49,34.25,30,2871,470,1335,458,5.0232,253900
-118.49,34.25,28,4054,712,2164,746,5,258000
-118.49,34.24,35,2707,446,1224,445,5.2939,244200
-118.49,34.24,34,1971,316,917,307,6.0965,262300
-118.49,34.23,32,4373,683,2040,693,5.2668,242300
-118.49,34.22,30,1756,314,899,288,5.0325,238200
-118.49,34.21,25,1131,449,746,420,1.3565,225000
-118.49,34.2,35,1109,206,515,202,5.2118,215800
-118.49,34.19,23,2087,571,1809,553,3.1667,202000
-118.49,34.18,31,3073,674,1486,684,4.8984,311700
-118.49,34.16,37,3333,488,1171,485,6.4958,500001
-118.49,34.15,33,2829,360,1010,363,10.3587,500001
-118.49,34.14,28,3539,441,1190,421,10.6796,500001
-118.49,34.13,24,4394,535,1443,528,11.2979,500001
-118.49,34.11,27,6603,879,2336,868,13.2935,500001
-118.49,34.07,36,2929,366,1054,352,13.5728,500001
-118.49,34.06,42,2861,360,829,310,15.0001,500001
-118.49,34.05,52,2416,291,810,270,13.8556,500001
-118.49,34.05,45,1346,214,415,209,7.0285,500001
-118.49,34.05,42,1918,216,632,224,15.0001,500001
-118.49,34.04,50,2597,340,964,339,13.3036,500001
-118.49,34.04,48,2381,345,859,306,8.0257,500001
-118.49,34.04,31,4066,951,1532,868,4.8125,500001
-118.49,34.03,32,3851,900,1456,836,4.5208,442100
-118.49,34.03,31,4949,1293,1985,1244,4.252,436700
-118.49,34.03,31,3155,808,1208,745,3.6769,450000
-118.49,34.02,30,2075,687,1026,592,3.1635,366700
-118.49,34.02,29,2709,799,1238,793,3.1563,330000
-118.49,34.02,28,2545,752,1548,679,2.9125,475000
-118.49,34.02,28,1394,582,716,543,1.5132,450000
-118.49,34.02,27,4725,1185,1945,1177,4.1365,470800
-118.49,34.01,28,651,252,333,174,1.9722,500001
-118.49,34,32,3407,1071,1463,986,3.0369,500001
-118.5,35.7,18,3303,814,986,522,1.5957,101400
-118.5,34.52,3,6577,1056,3032,1004,5.9263,251800
-118.5,34.46,17,10267,1683,4956,1483,5.5061,239400
-118.5,34.45,25,1290,190,689,216,6.0097,220200
-118.5,34.27,35,2235,390,1148,416,4.869,221600
-118.5,34.25,32,2411,380,1040,344,6.155,257300
-118.5,34.25,32,2333,389,969,331,4.8164,241100
-118.5,34.23,26,3082,573,1590,586,4.5167,319000
-118.5,34.21,36,1656,310,817,308,5.5675,215900
-118.5,34.21,36,1254,229,629,245,4.9643,236100
-118.5,34.21,35,1668,332,807,311,4.5125,200300
-118.5,34.2,42,1558,322,884,334,2.2304,203800
-118.5,34.19,35,2720,490,1158,445,5.0796,228300
-118.5,34.15,33,3104,387,1111,376,13.4196,500001
-118.5,34.05,36,4152,542,1461,550,15.0001,500001
-118.5,34.04,52,2233,317,769,277,8.3839,500001
-118.5,34.03,52,1711,245,671,242,7.7572,500001
-118.5,34.03,52,1506,208,547,186,7.8705,500001
-118.5,34.03,44,2146,394,851,355,6.48,500001
-118.5,34.03,32,6365,1784,2767,1698,3.6451,383300
-118.5,34.02,35,2914,934,1334,870,2.9934,350000
-118.5,34.02,24,2924,1013,1492,943,2.775,291700
-118.5,33.99,22,3484,975,1268,952,3.2609,500001
-118.5,33.97,52,709,329,388,313,2.2643,350000
-118.5,33.97,29,2737,808,1157,696,5.128,500001
-118.51,35.16,7,4371,727,1932,654,4.625,136800
-118.51,34.43,15,8510,1258,3733,1233,6.1082,253700
-118.51,34.3,24,6145,868,2710,875,7.5078,344000
-118.51,34.29,29,1287,194,525,187,6.4171,319300
-118.51,34.28,34,3580,565,1694,524,5.4065,243800
-118.51,34.28,29,4239,653,1890,631,6.3911,301700
-118.51,34.27,36,2276,429,1001,419,4.1042,252100
-118.51,34.27,34,3787,771,1966,738,4.055,222500
-118.51,34.25,24,4338,558,1514,549,8.8612,500001
-118.51,34.24,31,5297,664,1986,657,8.6454,483500
-118.51,34.23,36,3324,448,1190,423,7.2772,477200
-118.51,34.22,36,2794,523,1334,472,4.3462,222100
-118.51,34.22,36,1952,387,1156,392,4.185,209200
-118.51,34.21,36,2396,421,1064,398,4.7,223600
-118.51,34.2,35,1614,308,850,330,4.1806,209000
-118.51,34.2,33,2327,479,1166,472,4.2344,262500
-118.51,34.19,35,2537,418,1161,421,5.3028,229200
-118.51,34.18,37,1893,365,911,324,4.8036,295300
-118.51,34.17,31,3252,834,1411,760,3.1885,219000
-118.51,34.16,23,11154,1995,4076,1809,5.4609,500001
-118.51,34.14,28,6748,904,2431,876,12.8879,500001
-118.51,34.11,29,9013,1117,2919,1061,13.947,500001
-118.51,34.04,38,4715,691,1660,637,10.1882,500001
-118.51,34.03,37,4072,905,1468,923,3.8571,500001
-118.51,34,52,1241,502,679,459,2.3098,500001
-118.51,33.98,40,1901,679,865,587,2.3417,425000
-118.52,34.46,5,15341,2527,7270,2320,6.1281,236200
-118.52,34.44,26,934,148,519,162,5.3209,185000
-118.52,34.4,5,7748,1557,4768,1393,5.305,311200
-118.52,34.39,21,5477,1275,3384,1222,3.6625,228100
-118.52,34.36,5,4222,712,2024,646,5.8703,500001
-118.52,34.32,18,7498,976,3189,955,8.1248,374000
-118.52,34.3,17,4542,621,2144,597,8.8467,450700
