Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG1,NO,01/01/2017 00:00,25.50000,ug m-3,R
HG1,NO,01/01/2017 00:15,25.50000,ug m-3,R
HG1,NO,01/01/2017 00:30,25.50000,ug m-3,R
HG1,NO,01/01/2017 00:45,25.50000,ug m-3,R
HG1,NO,01/01/2017 01:00,21.70000,ug m-3,R
HG1,NO,01/01/2017 01:15,21.70000,ug m-3,R
HG1,NO,01/01/2017 01:30,21.70000,ug m-3,R
HG1,NO,01/01/2017 01:45,21.70000,ug m-3,R
HG1,NO,01/01/2017 02:00,17.40000,ug m-3,R
HG1,NO,01/01/2017 02:15,17.40000,ug m-3,R
HG1,NO,01/01/2017 02:30,17.40000,ug m-3,R
HG1,NO,01/01/2017 02:45,17.40000,ug m-3,R
HG1,NO,01/01/2017 03:00,18.80000,ug m-3,R
HG1,NO,01/01/2017 03:15,18.80000,ug m-3,R
HG1,NO,01/01/2017 03:30,18.80000,ug m-3,R
HG1,NO,01/01/2017 03:45,18.80000,ug m-3,R
HG1,NO,01/01/2017 04:00,20.60000,ug m-3,R
HG1,NO,01/01/2017 04:15,20.60000,ug m-3,R
HG1,NO,01/01/2017 04:30,20.60000,ug m-3,R
HG1,NO,01/01/2017 04:45,20.60000,ug m-3,R
HG1,NO,01/01/2017 05:00,22.90000,ug m-3,R
HG1,NO,01/01/2017 05:15,22.90000,ug m-3,R
HG1,NO,01/01/2017 05:30,22.90000,ug m-3,R
HG1,NO,01/01/2017 05:45,22.90000,ug m-3,R
HG1,NO,01/01/2017 06:00,19.60000,ug m-3,R
HG1,NO,01/01/2017 06:15,19.60000,ug m-3,R
HG1,NO,01/01/2017 06:30,19.60000,ug m-3,R
HG1,NO,01/01/2017 06:45,19.60000,ug m-3,R
HG1,NO,01/01/2017 07:00,17.40000,ug m-3,R
HG1,NO,01/01/2017 07:15,17.40000,ug m-3,R
HG1,NO,01/01/2017 07:30,17.40000,ug m-3,R
HG1,NO,01/01/2017 07:45,17.40000,ug m-3,R
HG1,NO,01/01/2017 08:00,39.80000,ug m-3,R
HG1,NO,01/01/2017 08:15,39.80000,ug m-3,R
HG1,NO,01/01/2017 08:30,39.80000,ug m-3,R
HG1,NO,01/01/2017 08:45,39.80000,ug m-3,R
HG1,NO,01/01/2017 09:00,55.50000,ug m-3,R
HG1,NO,01/01/2017 09:15,55.50000,ug m-3,R
HG1,NO,01/01/2017 09:30,55.50000,ug m-3,R
HG1,NO,01/01/2017 09:45,55.50000,ug m-3,R
HG1,NO,01/01/2017 10:00,30.10000,ug m-3,R
HG1,NO,01/01/2017 10:15,30.10000,ug m-3,R
HG1,NO,01/01/2017 10:30,30.10000,ug m-3,R
HG1,NO,01/01/2017 10:45,30.10000,ug m-3,R
HG1,NO,01/01/2017 11:00,22.40000,ug m-3,R
HG1,NO,01/01/2017 11:15,22.40000,ug m-3,R
HG1,NO,01/01/2017 11:30,22.40000,ug m-3,R
HG1,NO,01/01/2017 11:45,22.40000,ug m-3,R
HG1,NO,01/01/2017 12:00,20.80000,ug m-3,R
HG1,NO,01/01/2017 12:15,20.80000,ug m-3,R
HG1,NO,01/01/2017 12:30,20.80000,ug m-3,R
HG1,NO,01/01/2017 12:45,20.80000,ug m-3,R
HG1,NO,01/01/2017 13:00,11.90000,ug m-3,R
HG1,NO,01/01/2017 13:15,11.90000,ug m-3,R
HG1,NO,01/01/2017 13:30,11.90000,ug m-3,R
HG1,NO,01/01/2017 13:45,11.90000,ug m-3,R
HG1,NO,01/01/2017 14:00,8.90000,ug m-3,R
HG1,NO,01/01/2017 14:15,8.90000,ug m-3,R
HG1,NO,01/01/2017 14:30,8.90000,ug m-3,R
HG1,NO,01/01/2017 14:45,8.90000,ug m-3,R
HG1,NO,01/01/2017 15:00,7.00000,ug m-3,R
HG1,NO,01/01/2017 15:15,7.00000,ug m-3,R
HG1,NO,01/01/2017 15:30,7.00000,ug m-3,R
HG1,NO,01/01/2017 15:45,7.00000,ug m-3,R
HG1,NO,01/01/2017 16:00,9.70000,ug m-3,R
HG1,NO,01/01/2017 16:15,9.70000,ug m-3,R
HG1,NO,01/01/2017 16:30,9.70000,ug m-3,R
HG1,NO,01/01/2017 16:45,9.70000,ug m-3,R
HG1,NO,01/01/2017 17:00,10.30000,ug m-3,R
HG1,NO,01/01/2017 17:15,10.30000,ug m-3,R
HG1,NO,01/01/2017 17:30,10.30000,ug m-3,R
HG1,NO,01/01/2017 17:45,10.30000,ug m-3,R
HG1,NO,01/01/2017 18:00,12.00000,ug m-3,R
HG1,NO,01/01/2017 18:15,12.00000,ug m-3,R
HG1,NO,01/01/2017 18:30,12.00000,ug m-3,R
HG1,NO,01/01/2017 18:45,12.00000,ug m-3,R
HG1,NO,01/01/2017 19:00,13.90000,ug m-3,R
HG1,NO,01/01/2017 19:15,13.90000,ug m-3,R
HG1,NO,01/01/2017 19:30,13.90000,ug m-3,R
HG1,NO,01/01/2017 19:45,13.90000,ug m-3,R
HG1,NO,01/01/2017 20:00,15.60000,ug m-3,R
HG1,NO,01/01/2017 20:15,15.60000,ug m-3,R
HG1,NO,01/01/2017 20:30,15.60000,ug m-3,R
HG1,NO,01/01/2017 20:45,15.60000,ug m-3,R
HG1,NO,01/01/2017 21:00,8.50000,ug m-3,R
HG1,NO,01/01/2017 21:15,8.50000,ug m-3,R
HG1,NO,01/01/2017 21:30,8.50000,ug m-3,R
HG1,NO,01/01/2017 21:45,8.50000,ug m-3,R
HG1,NO,01/01/2017 22:00,11.60000,ug m-3,R
HG1,NO,01/01/2017 22:15,11.60000,ug m-3,R
HG1,NO,01/01/2017 22:30,11.60000,ug m-3,R
HG1,NO,01/01/2017 22:45,11.60000,ug m-3,R
HG1,NO,01/01/2017 23:00,7.20000,ug m-3,R
HG1,NO,01/01/2017 23:15,7.20000,ug m-3,R
HG1,NO,01/01/2017 23:30,7.20000,ug m-3,R
HG1,NO,01/01/2017 23:45,7.20000,ug m-3,R
HG1,NO,02/01/2017 00:00,8.70000,ug m-3,R
HG1,NO,02/01/2017 00:15,8.70000,ug m-3,R
HG1,NO,02/01/2017 00:30,8.70000,ug m-3,R
HG1,NO,02/01/2017 00:45,8.70000,ug m-3,R
HG1,NO,02/01/2017 01:00,3.50000,ug m-3,R
HG1,NO,02/01/2017 01:15,3.50000,ug m-3,R
HG1,NO,02/01/2017 01:30,3.50000,ug m-3,R
HG1,NO,02/01/2017 01:45,3.50000,ug m-3,R
HG1,NO,02/01/2017 02:00,3.30000,ug m-3,R
HG1,NO,02/01/2017 02:15,3.30000,ug m-3,R
HG1,NO,02/01/2017 02:30,3.30000,ug m-3,R
HG1,NO,02/01/2017 02:45,3.30000,ug m-3,R
HG1,NO,02/01/2017 03:00,2.00000,ug m-3,R
HG1,NO,02/01/2017 03:15,2.00000,ug m-3,R
HG1,NO,02/01/2017 03:30,2.00000,ug m-3,R
HG1,NO,02/01/2017 03:45,2.00000,ug m-3,R
HG1,NO,02/01/2017 04:00,2.00000,ug m-3,R
HG1,NO,02/01/2017 04:15,2.00000,ug m-3,R
HG1,NO,02/01/2017 04:30,2.00000,ug m-3,R
HG1,NO,02/01/2017 04:45,2.00000,ug m-3,R
HG1,NO,02/01/2017 05:00,2.90000,ug m-3,R
HG1,NO,02/01/2017 05:15,2.90000,ug m-3,R
HG1,NO,02/01/2017 05:30,2.90000,ug m-3,R
HG1,NO,02/01/2017 05:45,2.90000,ug m-3,R
HG1,NO,02/01/2017 06:00,3.00000,ug m-3,R
HG1,NO,02/01/2017 06:15,3.00000,ug m-3,R
HG1,NO,02/01/2017 06:30,3.00000,ug m-3,R
HG1,NO,02/01/2017 06:45,3.00000,ug m-3,R
HG1,NO,02/01/2017 07:00,5.10000,ug m-3,R
HG1,NO,02/01/2017 07:15,5.10000,ug m-3,R
HG1,NO,02/01/2017 07:30,5.10000,ug m-3,R
HG1,NO,02/01/2017 07:45,5.10000,ug m-3,R
HG1,NO,02/01/2017 08:00,8.70000,ug m-3,R
HG1,NO,02/01/2017 08:15,8.70000,ug m-3,R
HG1,NO,02/01/2017 08:30,8.70000,ug m-3,R
HG1,NO,02/01/2017 08:45,8.70000,ug m-3,R
HG1,NO,02/01/2017 09:00,12.90000,ug m-3,R
HG1,NO,02/01/2017 09:15,12.90000,ug m-3,R
HG1,NO,02/01/2017 09:30,12.90000,ug m-3,R
HG1,NO,02/01/2017 09:45,12.90000,ug m-3,R
HG1,NO,02/01/2017 10:00,14.20000,ug m-3,R
HG1,NO,02/01/2017 10:15,14.20000,ug m-3,R
HG1,NO,02/01/2017 10:30,14.20000,ug m-3,R
HG1,NO,02/01/2017 10:45,14.20000,ug m-3,R
HG1,NO,02/01/2017 11:00,15.10000,ug m-3,R
HG1,NO,02/01/2017 11:15,15.10000,ug m-3,R
HG1,NO,02/01/2017 11:30,15.10000,ug m-3,R
HG1,NO,02/01/2017 11:45,15.10000,ug m-3,R
HG1,NO,02/01/2017 12:00,18.60000,ug m-3,R
HG1,NO,02/01/2017 12:15,18.60000,ug m-3,R
HG1,NO,02/01/2017 12:30,18.60000,ug m-3,R
HG1,NO,02/01/2017 12:45,18.60000,ug m-3,R
HG1,NO,02/01/2017 13:00,19.60000,ug m-3,R
HG1,NO,02/01/2017 13:15,19.60000,ug m-3,R
HG1,NO,02/01/2017 13:30,19.60000,ug m-3,R
HG1,NO,02/01/2017 13:45,19.60000,ug m-3,R
HG1,NO,02/01/2017 14:00,18.20000,ug m-3,R
HG1,NO,02/01/2017 14:15,18.20000,ug m-3,R
HG1,NO,02/01/2017 14:30,18.20000,ug m-3,R
HG1,NO,02/01/2017 14:45,18.20000,ug m-3,R
HG1,NO,02/01/2017 15:00,13.60000,ug m-3,R
HG1,NO,02/01/2017 15:15,13.60000,ug m-3,R
HG1,NO,02/01/2017 15:30,13.60000,ug m-3,R
HG1,NO,02/01/2017 15:45,13.60000,ug m-3,R
HG1,NO,02/01/2017 16:00,11.00000,ug m-3,R
HG1,NO,02/01/2017 16:15,11.00000,ug m-3,R
HG1,NO,02/01/2017 16:30,11.00000,ug m-3,R
HG1,NO,02/01/2017 16:45,11.00000,ug m-3,R
HG1,NO,02/01/2017 17:00,23.70000,ug m-3,R
HG1,NO,02/01/2017 17:15,23.70000,ug m-3,R
HG1,NO,02/01/2017 17:30,23.70000,ug m-3,R
HG1,NO,02/01/2017 17:45,23.70000,ug m-3,R
HG1,NO,02/01/2017 18:00,33.70000,ug m-3,R
HG1,NO,02/01/2017 18:15,33.70000,ug m-3,R
HG1,NO,02/01/2017 18:30,33.70000,ug m-3,R
HG1,NO,02/01/2017 18:45,33.70000,ug m-3,R
HG1,NO,02/01/2017 19:00,34.90000,ug m-3,R
HG1,NO,02/01/2017 19:15,34.90000,ug m-3,R
HG1,NO,02/01/2017 19:30,34.90000,ug m-3,R
HG1,NO,02/01/2017 19:45,34.90000,ug m-3,R
HG1,NO,02/01/2017 20:00,43.40000,ug m-3,R
HG1,NO,02/01/2017 20:15,43.40000,ug m-3,R
HG1,NO,02/01/2017 20:30,43.40000,ug m-3,R
HG1,NO,02/01/2017 20:45,43.40000,ug m-3,R
HG1,NO,02/01/2017 21:00,31.90000,ug m-3,R
HG1,NO,02/01/2017 21:15,31.90000,ug m-3,R
HG1,NO,02/01/2017 21:30,31.90000,ug m-3,R
HG1,NO,02/01/2017 21:45,31.90000,ug m-3,R
HG1,NO,02/01/2017 22:00,35.70000,ug m-3,R
HG1,NO,02/01/2017 22:15,35.70000,ug m-3,R
HG1,NO,02/01/2017 22:30,35.70000,ug m-3,R
HG1,NO,02/01/2017 22:45,35.70000,ug m-3,R
HG1,NO,02/01/2017 23:00,46.10000,ug m-3,R
HG1,NO,02/01/2017 23:15,46.10000,ug m-3,R
HG1,NO,02/01/2017 23:30,46.10000,ug m-3,R
HG1,NO,02/01/2017 23:45,46.10000,ug m-3,R
HG1,NO,03/01/2017 00:00,15.30000,ug m-3,R
HG1,NO,03/01/2017 00:15,15.30000,ug m-3,R
HG1,NO,03/01/2017 00:30,15.30000,ug m-3,R
HG1,NO,03/01/2017 00:45,15.30000,ug m-3,R
HG1,NO,03/01/2017 01:00,6.70000,ug m-3,R
HG1,NO,03/01/2017 01:15,6.70000,ug m-3,R
HG1,NO,03/01/2017 01:30,6.70000,ug m-3,R
HG1,NO,03/01/2017 01:45,6.70000,ug m-3,R
HG1,NO,03/01/2017 02:00,9.90000,ug m-3,R
HG1,NO,03/01/2017 02:15,9.90000,ug m-3,R
HG1,NO,03/01/2017 02:30,9.90000,ug m-3,R
HG1,NO,03/01/2017 02:45,9.90000,ug m-3,R
HG1,NO,03/01/2017 03:00,14.00000,ug m-3,R
