,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
0,HG1,NO,01/06/2018 00:00,2.7,ug m-3,P
1,HG1,NO,01/06/2018 00:15,3.0,ug m-3,P
2,HG1,NO,01/06/2018 00:30,4.7,ug m-3,P
3,HG1,NO,01/06/2018 00:45,,ug m-3,P
4,HG1,NO,01/06/2018 01:00,,ug m-3,P
5,HG1,NO,01/06/2018 01:15,1.6,ug m-3,P
6,HG1,NO,01/06/2018 01:30,8.1,ug m-3,P
7,HG1,NO,01/06/2018 01:45,1.7,ug m-3,P
8,HG1,NO,01/06/2018 02:00,8.0,ug m-3,P
9,HG1,NO,01/06/2018 02:15,6.6,ug m-3,P
10,HG1,NO,01/06/2018 02:30,3.2,ug m-3,P
11,HG1,NO,01/06/2018 02:45,2.2,ug m-3,P
12,HG1,NO,01/06/2018 03:00,5.0,ug m-3,P
13,HG1,NO,01/06/2018 03:15,13.3,ug m-3,P
14,HG1,NO,01/06/2018 03:30,3.9,ug m-3,P
15,HG1,NO,01/06/2018 03:45,27.2,ug m-3,P
16,HG1,NO,01/06/2018 04:00,6.2,ug m-3,P
17,HG1,NO,01/06/2018 04:15,19.9,ug m-3,P
18,HG1,NO,01/06/2018 04:30,18.3,ug m-3,P
19,HG1,NO,01/06/2018 04:45,22.8,ug m-3,P
20,HG1,NO,01/06/2018 05:00,36.5,ug m-3,P
21,HG1,NO,01/06/2018 05:15,33.8,ug m-3,P
22,HG1,NO,01/06/2018 05:30,31.2,ug m-3,P
23,HG1,NO,01/06/2018 05:45,50.5,ug m-3,P
24,HG1,NO,01/06/2018 06:00,27.7,ug m-3,P
25,HG1,NO,01/06/2018 06:15,41.1,ug m-3,P
26,HG1,NO,01/06/2018 06:30,19.6,ug m-3,P
27,HG1,NO,01/06/2018 06:45,32.5,ug m-3,P
28,HG1,NO,01/06/2018 07:00,39.6,ug m-3,P
29,HG1,NO,01/06/2018 07:15,54.5,ug m-3,P
30,HG1,NO,01/06/2018 07:30,41.0,ug m-3,P
31,HG1,NO,01/06/2018 07:45,38.0,ug m-3,P
32,HG1,NO,01/06/2018 08:00,31.8,ug m-3,P
33,HG1,NO,01/06/2018 08:15,34.6,ug m-3,P
34,HG1,NO,01/06/2018 08:30,36.1,ug m-3,P
35,HG1,NO,01/06/2018 08:45,45.2,ug m-3,P
36,HG1,NO,01/06/2018 09:00,23.5,ug m-3,P
37,HG1,NO,01/06/2018 09:15,18.9,ug m-3,P
38,HG1,NO,01/06/2018 09:30,33.7,ug m-3,P
39,HG1,NO,01/06/2018 09:45,38.5,ug m-3,P
40,HG1,NO,01/06/2018 10:00,33.0,ug m-3,P
41,HG1,NO,01/06/2018 10:15,36.1,ug m-3,P
42,HG1,NO,01/06/2018 10:30,31.3,ug m-3,P
43,HG1,NO,01/06/2018 10:45,39.9,ug m-3,P
44,HG1,NO,01/06/2018 11:00,26.4,ug m-3,P
45,HG1,NO,01/06/2018 11:15,26.3,ug m-3,P
46,HG1,NO,01/06/2018 11:30,39.1,ug m-3,P
47,HG1,NO,01/06/2018 11:45,34.7,ug m-3,P
48,HG1,NO,01/06/2018 12:00,24.8,ug m-3,P
49,HG1,NO,01/06/2018 12:15,28.4,ug m-3,P
50,HG1,NO,01/06/2018 12:30,13.1,ug m-3,P
51,HG1,NO,01/06/2018 12:45,12.7,ug m-3,P
